Latitude	Longitude	Date	Yr_code	Bay	Site	Size	LL	LO	NL	TT	FV	AN	ME	MM	OSB	NSB	PSB	PFV	PAN	PME	PBR
44 10.377	68 28.281	10Aug1997	1997b	SC	HN	4	50.6	0.2	9.0	0.0	0.6	-999.9	0.0	0.0	0.0	7.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.326	68 28.314	10Aug1997	1997b	SC	HN	8	80.0	0.4	6.6	0.0	35.0	-999.9	0.0	0.0	0.0	7.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.923	68 28.626	10Aug1997	1997b	SC	MD	0	18.6	2.4	0.2	0.0	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.931	68 28.642	10Aug1997	1997b	SC	MD	1	34.0	0.2	0.4	0.4	0.2	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.909	68 28.635	10Aug1997	1997b	SC	MD	2	36.6	0.2	2.0	0.4	0.0	-999.9	0.0	0.0	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.946	68 28.596	10Aug1997	1997b	SC	MD	4	70.0	0.0	28.0	0.0	8.2	-999.9	0.0	0.0	0.0	3.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.945	68 28.626	10Aug1997	1997b	SC	MD	8	24.2	0.0	6.0	0.0	2.0	-999.9	0.0	0.0	0.0	1.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.614	68 28.834	16Aug1997	1997b	SC	PL	0	6.0	5.8	0.4	0.2	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.606	68 28.858	16Aug1997	1997b	SC	PL	1	11.6	17.4	0.4	0.2	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.802	16Aug1997	1997b	SC	PL	2	18.0	1.6	0.4	0.2	0.2	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.816	16Aug1997	1997b	SC	PL	4	17.6	0.4	0.4	0.0	0.0	-999.9	0.0	0.0	0.0	1.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.613	68 28.849	16Aug1997	1997b	SC	PL	8	23.6	0.0	0.0	0.0	6.6	-999.9	0.0	0.0	0.0	1.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.314	68 28.117	13Aug1997	1997b	TC	JL	0	14.0	14.0	3.6	0.2	1.2	-999.9	0.0	0.6	0.0	24.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.318	68 28.167	13Aug1997	1997b	TC	JL	1	9.8	8.8	1.2	0.0	22.4	-999.9	0.0	0.0	0.0	14.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.309	68 28.157	13Aug1997	1997b	TC	JL	2	127.8	1.0	0.4	0.2	4.0	-999.9	0.0	1.4	0.0	0.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.98	13Aug1997	1997b	TC	JL	4	14.2	14.2	0.2	0.0	31.8	-999.9	0.0	0.0	0.2	7.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.141	13Aug1997	1997b	TC	JL	8	31.2	31.2	4.6	0.0	12.4	-999.9	0.0	0.0	0.0	17.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.164	68 27.194	14Aug1997	1997b	TC	LD	0	47.6	9.8	0.6	3.2	1.2	-999.9	0.0	2.6	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.165	68 27.186	14Aug1997	1997b	TC	LD	1	32.8	4.2	1.0	3.8	6.4	-999.9	0.0	1.2	0.0	0.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.152	68 27.156	14Aug1997	1997b	TC	LD	2	47.8	5.6	2.8	3.0	0.4	-999.9	0.0	0.2	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.121	68 27.133	14Aug1997	1997b	TC	LD	4	18.4	4.2	3.0	0.8	17.2	-999.9	0.0	0.4	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.133	68 27.145	14Aug1997	1997b	TC	LD	8	46.2	2.0	7.4	0.0	4.6	-999.9	0.0	0.0	0.0	2.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.465	68 27.823	13Aug1997	1997b	TC	LH	0	56.6	7.4	4.6	0.8	0.0	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.460	68 27.804	13Aug1997	1997b	TC	LH	1	106.4	12.4	2.0	1.2	1.0	-999.9	0.0	1.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.463	68 27.772	17Aug1997	1997b	TC	LH	2	56.6	1.4	8.6	0.0	1.8	-999.9	0.0	0.0	0.0	4.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.468	68 27.790	17Aug1997	1997b	TC	LH	4	21.8	2.8	0.2	0.0	13.6	-999.9	0.0	0.0	0.0	14.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.451	68 27.826	17Aug1997	1997b	TC	LH	8	119.8	0.0	24.0	0.4	3.4	-999.9	0.0	0.0	0.0	9.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.629	68 26.663	19Jun1998	1998a	BC	DK	0	8.8	21.6	2.2	0.0	0.0	0.0	0.2	0.0	3.1	0.6	78.4	0.0	100.0	0.0	21.6
44 8.633	68 26.650	19Jun1998	1998a	BC	DK	1	35.0	17.4	0.2	0.0	56.8	0.6	0.6	0.0	2.9	0.8	57.6	30.4	0.0	0.0	12.0
44 8.657	68 26.687	19Jun1998	1998a	BC	DK	2	32.2	2.6	0.2	0.4	3.4	0.0	0.2	0.0	2.4	1.1	97.6	0.0	0.0	0.0	2.4
44 8.651	68 26.665	19Jun1998	1998a	BC	DK	4	122.6	4.8	0.4	0.2	4.8	0.0	0.4	0.0	0.3	1.0	20.0	0.8	0.0	0.0	79.2
44 8.672	68 26.701	19Jun1998	1998a	BC	DK	8	89.0	0.0	0.4	0.0	67.4	1.0	3.4	0.0	1.8	10.9	84.8	12.0	0.0	0.8	2.4
44 8.302	68 25.950	16Jun1998	1998a	BC	LC	0	24.6	12.2	2.0	2.0	0.0	0.0	48.0	0.0	0.1	1.4	10.4	0.0	100.0	24.0	65.6
44 8.288	68 25.917	15Jun1998	1998a	BC	LC	1	6.6	9.2	0.8	0.4	0.0	0.0	0.0	0.0	0.9	7.7	42.4	0.0	0.0	0.0	57.6
44 8.292	68 25.940	20Jun1998	1998a	BC	LC	2	53.4	2.0	1.0	7.4	3.0	0.0	17.8	0.0	0.8	9.3	71.2	6.4	0.0	10.4	12.0
44 8.306	68 25.967	15Jun1998	1998a	BC	LC	4	87.4	2.2	1.2	1.6	6.8	1.4	0.4	0.0	1.4	6.5	63.2	13.6	0.0	0.0	23.2
44 8.276	68 25.896	15Jun1998	1998a	BC	LC	8	67.4	0.6	0.0	0.0	3.4	1.2	12.4	0.0	0.4	8.8	30.4	0.8	0.0	0.0	68.8
44 8.443	68 26.448	16Jun1998	1998a	BC	MP	0	66.8	1.4	2.2	2.6	2.0	0.0	55.0	0.0	1.5	8.0	39.2	3.2	100.0	30.4	27.2
44 8.450	68 26.503	16Jun1998	1998a	BC	MP	1	105.4	1.4	4.8	8.4	0.0	0.0	67.2	0.0	0.3	3.8	39.2	3.2	0.0	30.4	27.2
44 8.452	68 26.481	16Jun1998	1998a	BC	MP	2	51.6	0.2	0.2	0.6	5.0	0.2	4.4	0.0	3.2	13.9	68.8	0.8	0.0	0.8	29.6
44 8.433	68 26.427	16Jun1998	1998a	BC	MP	4	89.0	0.8	1.0	0.2	4.0	0.2	63.4	0.0	2.9	15.4	72.0	0.0	0.0	22.4	5.6
44 8.449	68 26.456	16Jun1998	1998a	BC	MP	8	150.0	0.6	1.0	0.2	4.0	1.2	0.2	0.0	2.4	13.4	52.0	0.8	0.0	0.0	47.2
44 10.487	68 26.890	12Jun1998	1998a	MC	BO	0	34.6	11.6	2.0	1.0	0.0	0.8	1.2	0.0	0.0	3.7	13.6	0.0	100.0	0.0	86.4
44 10.456	68 26.911	20Jun1998	1998a	MC	BO	1	28.6	0.0	1.8	0.4	0.0	0.0	0.0	0.0	0.0	7.4	34.4	0.0	0.0	0.0	65.6
44 10.510	68 26.873	11Jun1998	1998a	MC	BO	2	24.2	1.4	0.6	3.2	0.0	0.0	0.0	0.0	0.3	6.8	79.2	0.0	0.0	0.0	20.8
44 10.469	68 26.897	12Jun1998	1998a	MC	BO	4	151.8	0.0	0.2	0.0	2.8	0.0	13.8	0.0	2.8	15.6	93.6	0.0	0.0	2.4	4.0
44 10.500	68 26.884	11Jun1998	1998a	MC	BO	8	96.0	0.0	1.8	0.0	6.6	0.6	0.0	0.0	3.8	14.3	100.0	0.0	1.6	0.0	0.0
44 10.462	68 25.380	14Jun1998	1998a	MC	BS	0	42.4	1.4	0.2	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 10.475	68 25.379	14Jun1998	1998a	MC	BS	1	46.0	0.0	0.6	1.0	1.0	2.6	0.0	0.0	0.0	1.2	1.6	0.0	0.0	0.0	98.4
44 10.484	68 25.372	14Jun1998	1998a	MC	BS	2	18.4	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	100.0
44 10.509	68 25.358	14Jun1998	1998a	MC	BS	4	79.8	0.2	2.0	0.2	0.4	0.8	0.0	0.0	0.7	14.5	52.0	0.0	0.0	0.0	48.0
44 10.497	68 25.366	14Jun1998	1998a	MC	BS	8	97.4	0.0	0.8	0.4	0.6	1.8	0.2	0.0	3.4	14.4	82.4	0.0	0.0	0.0	17.6
44 9.885	68 27.212	13Jun1998	1998a	MC	GR	0	18.8	3.8	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 9.855	68 27.207	13Jun1998	1998a	MC	GR	1	47.4	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.877	68 27.203	13Jun1998	1998a	MC	GR	2	14.6	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.866	68 27.207	13Jun1998	1998a	MC	GR	4	25.8	0.4	0.4	0.0	3.8	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	100.0
44 9.839	68 27.221	13Jun1998	1998a	MC	GR	8	39.4	0.2	0.2	0.0	0.0	0.2	0.0	0.0	0.1	0.4	0.0	0.0	0.0	0.0	100.0
44 10.338	68 28.328	15Jun1998	1998a	SC	HN	0	53.2	2.2	1.6	10.4	0.0	0.0	322.4	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 10.361	68 28.309	15Jun1998	1998a	SC	HN	1	58.0	0.0	1.4	9.0	0.0	0.0	10.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 10.354	68 28.316	15Jun1998	1998a	SC	HN	2	46.8	0.0	0.6	8.6	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 10.377	68 28.281	15Jun1998	1998a	SC	HN	4	139.4	1.6	11.8	0.2	11.6	2.4	0.2	0.0	0.4	0.1	0.0	0.0	0.0	0.0	100.0
44 10.326	68 28.314	15Jun1998	1998a	SC	HN	8	122.2	0.6	1.4	0.6	80.4	1.6	72.8	0.0	1.5	11.3	71.2	10.4	0.0	0.0	18.4
44 9.923	68 28.626	13Jun1998	1998a	SC	MD	0	30.2	11.2	2.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 9.931	68 28.642	13Jun1998	1998a	SC	MD	1	34.8	6.2	1.2	4.8	0.0	0.0	67.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.909	68 28.635	13Jun1998	1998a	SC	MD	2	9.8	1.6	0.0	2.2	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.946	68 28.596	13Jun1998	1998a	SC	MD	4	87.6	1.0	2.2	0.0	17.8	13.6	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	99.2
44 9.945	68 28.626	13Jun1998	1998a	SC	MD	8	186.4	0.0	2.4	0.8	14.8	7.2	1393.6	0.0	0.0	0.0	0.0	0.0	0.0	28.0	72.0
44 9.614	68 28.834	17Jun1998	1998a	SC	PL	0	22.8	5.6	0.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 9.606	68 28.858	17Jun1998	1998a	SC	PL	1	15.4	3.4	0.2	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.615	68 28.802	17Jun1998	1998a	SC	PL	2	23.0	2.0	0.4	2.4	0.8	0.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.615	68 28.816	17Jun1998	1998a	SC	PL	4	27.4	0.8	0.4	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	100.0
44 9.613	68 28.849	17Jun1998	1998a	SC	PL	8	88.6	0.6	2.8	0.0	21.4	9.6	0.0	0.0	0.3	0.1	39.2	0.0	0.0	0.0	60.8
44 9.314	68 28.117	18Jun1998	1998a	TC	JL	0	3.6	34.0	11.6	0.2	2.2	0.0	9.8	0.0	4.0	13.7	60.0	1.6	100.0	0.0	38.4
44 9.318	68 28.167	18Jun1998	1998a	TC	JL	1	4.6	118.6	2.8	0.8	128.0	0.4	0.4	0.0	1.7	2.7	12.0	69.6	0.0	0.0	18.4
44 9.309	68 28.157	18Jun1998	1998a	TC	JL	2	98.6	4.6	1.6	3.6	3.0	0.0	0.0	3.0	0.0	0.0	0.8	13.6	0.0	0.0	85.6
44 9.312	68 28.98	17Jun1998	1998a	TC	JL	4	69.6	76.6	6.8	0.0	281.4	0.4	1.0	0.0	3.3	16.8	56.8	38.4	0.0	0.0	4.8
44 9.312	68 28.141	18Jun1998	1998a	TC	JL	8	356.0	9.2	6.2	0.0	779.0	0.0	25.0	0.0	2.2	28.4	73.6	26.4	0.0	0.0	0.0
44 8.164	68 27.194	12Jun1998	1998a	TC	LD	0	36.6	20.2	1.8	1.2	0.0	0.4	0.8	17.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0
44 8.165	68 27.186	12Jun1998	1998a	TC	LD	1	33.8	18.6	1.0	15.2	10.8	0.8	0.0	5.0	0.0	0.0	0.0	33.6	0.0	0.0	66.4
44 8.152	68 27.156	12Jun1998	1998a	TC	LD	2	64.2	9.8	2.4	6.6	4.0	1.0	0.2	0.0	0.0	0.5	0.0	1.6	0.0	0.0	98.4
44 8.121	68 27.133	11Jun1998	1998a	TC	LD	4	20.0	21.0	1.0	2.0	30.6	3.2	0.0	0.0	0.0	0.1	0.0	75.2	0.0	0.0	24.8
44 8.133	68 27.145	11Jun1998	1998a	TC	LD	8	69.8	15.4	1.2	1.4	13.6	0.8	0.2	2.0	0.0	0.4	0.0	15.2	0.0	0.0	84.8
44 9.465	68 27.823	19Jun1998	1998a	TC	LH	0	79.6	11.0	3.0	0.6	0.0	0.4	0.0	0.0	0.0	0.8	0.0	0.0	100.0	0.0	100.0
44 9.460	68 27.804	19Jun1998	1998a	TC	LH	1	48.0	9.6	0.8	7.8	2.4	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
44 9.463	68 27.772	19Jun1998	1998a	TC	LH	2	53.2	7.2	4.2	1.8	12.6	1.0	4.4	0.0	0.3	0.0	0.0	6.4	0.0	0.0	93.6
44 9.468	68 27.790	19Jun1998	1998a	TC	LH	4	151.6	4.8	3.6	0.0	21.0	0.8	0.0	0.0	3.8	11.6	92.8	5.6	0.0	0.0	1.6
44 9.451	68 27.826	19Jun1998	1998a	TC	LH	8	67.2	5.4	4.0	0.4	27.0	0.8	0.0	0.0	0.3	0.2	0.0	36.0	0.0	0.0	64.0
44 8.629	68 26.663	09Aug1998	1998b	BC	DK	0	11.0	4.4	4.2	0.2	1.0	0.0	4.0	0.0	0.4	0.9	-999.9	2.8	-999.9	-999.9	-999.9
44 8.633	68 26.650	09Aug1998	1998b	BC	DK	1	28.6	2.6	1.8	0.0	29.6	0.0	0.0	0.0	0.5	1.2	-999.9	45.6	-999.9	-999.9	-999.9
44 8.657	68 26.687	09Aug1998	1998b	BC	DK	2	38.2	2.2	0.2	0.0	1.6	0.0	0.4	0.0	2.4	1.0	-999.9	1.1	-999.9	-999.9	-999.9
44 8.651	68 26.665	09Aug1998	1998b	BC	DK	4	110.2	2.0	0.0	0.0	20.2	2.0	0.2	0.0	0.8	1.0	-999.9	5.6	-999.9	-999.9	-999.9
44 8.672	68 26.701	09Aug1998	1998b	BC	DK	8	62.2	0.4	0.0	0.0	67.2	1.8	4.6	0.0	1.3	6.0	-999.9	29.4	-999.9	-999.9	-999.9
44 8.302	68 25.950	09Aug1998	1998b	BC	LC	0	21.8	5.0	0.8	1.2	0.2	0.0	7.2	0.0	0.4	2.5	-999.9	0.6	-999.9	-999.9	-999.9
44 8.288	68 25.917	09Aug1998	1998b	BC	LC	1	16.2	5.4	0.4	0.2	0.2	0.0	0.0	0.0	1.7	5.0	-999.9	0.0	-999.9	-999.9	-999.9
44 8.292	68 25.940	09Aug1998	1998b	BC	LC	2	51.4	4.0	2.8	0.8	8.0	0.2	6.4	0.0	0.9	3.8	-999.9	18.3	-999.9	-999.9	-999.9
44 8.306	68 25.967	09Aug1998	1998b	BC	LC	4	112.2	0.8	1.0	0.4	9.8	2.2	0.6	0.0	0.9	9.2	-999.9	32.2	-999.9	-999.9	-999.9
44 8.276	68 25.896	09Aug1998	1998b	BC	LC	8	233.4	0.6	0.0	0.0	5.6	1.8	11.4	0.0	1.3	4.4	-999.9	4.4	-999.9	-999.9	-999.9
44 8.443	68 26.448	08Aug1998	1998b	BC	MP	0	41.0	1.0	1.0	0.2	3.2	0.0	25.4	0.0	0.8	4.7	-999.9	13.9	-999.9	-999.9	-999.9
44 8.450	68 26.503	08Aug1998	1998b	BC	MP	1	89.0	1.0	1.6	1.8	0.0	0.0	56.2	0.0	0.5	3.1	-999.9	0.0	-999.9	-999.9	-999.9
44 8.452	68 26.481	08Aug1998	1998b	BC	MP	2	63.2	0.2	1.6	0.0	4.4	0.8	8.2	0.0	1.3	8.9	-999.9	2.2	-999.9	-999.9	-999.9
44 8.433	68 26.427	08Aug1998	1998b	BC	MP	4	94.6	0.0	0.2	0.0	2.6	0.2	33.6	0.0	1.4	10.3	-999.9	0.6	-999.9	-999.9	-999.9
44 8.449	68 26.456	08Aug1998	1998b	BC	MP	8	102.6	0.0	0.2	0.0	17.4	2.0	1.2	0.0	1.9	6.1	-999.9	7.2	-999.9	-999.9	-999.9
44 10.487	68 26.890	15Aug1998	1998b	MC	BO	0	26.4	0.4	0.2	0.0	0.0	0.0	0.4	0.0	0.4	0.3	-999.9	0.0	-999.9	-999.9	-999.9
44 10.456	68 26.911	15Aug1998	1998b	MC	BO	1	17.6	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.7	-999.9	0.0	-999.9	-999.9	-999.9
44 10.510	68 26.873	14Aug1998	1998b	MC	BO	2	20.6	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.3	1.7	-999.9	0.0	-999.9	-999.9	-999.9
44 10.469	68 26.897	15Aug1998	1998b	MC	BO	4	184.0	0.0	0.0	0.0	15.2	0.2	11.4	0.0	1.6	2.8	-999.9	0.0	-999.9	-999.9	-999.9
44 10.500	68 26.884	14Aug1998	1998b	MC	BO	8	35.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	1.2	1.2	-999.9	0.0	-999.9	-999.9	-999.9
44 10.462	68 25.380	10Aug1998	1998b	MC	BS	0	19.2	2.6	0.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 10.475	68 25.379	10Aug1998	1998b	MC	BS	1	11.2	0.8	0.4	0.8	0.4	0.0	0.0	0.0	0.8	1.1	-999.9	0.0	-999.9	-999.9	-999.9
44 10.484	68 25.372	10Aug1998	1998b	MC	BS	2	9.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 10.509	68 25.358	10Aug1998	1998b	MC	BS	4	72.6	1.6	3.8	0.0	1.0	0.0	0.0	0.0	0.8	8.3	-999.9	0.0	-999.9	-999.9	-999.9
44 10.497	68 25.366	10Aug1998	1998b	MC	BS	8	57.4	0.8	2.2	0.2	1.8	0.8	0.0	0.0	2.4	3.2	-999.9	0.0	-999.9	-999.9	-999.9
44 9.885	68 27.212	09Aug1998	1998b	MC	GR	0	5.2	5.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.855	68 27.207	09Aug1998	1998b	MC	GR	1	3.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.877	68 27.203	09Aug1998	1998b	MC	GR	2	23.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.866	68 27.207	09Aug1998	1998b	MC	GR	4	13.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.4	-999.9	0.0	-999.9	-999.9	-999.9
44 9.839	68 27.221	09Aug1998	1998b	MC	GR	8	21.8	0.0	0.2	0.0	0.8	0.0	0.0	0.0	0.0	0.0	-999.9	0.6	-999.9	-999.9	-999.9
44 10.338	68 28.328	09Aug1998	1998b	SC	HN	0	82.0	1.0	2.2	2.0	0.0	0.0	0.6	0.0	0.0	0.0	-999.9	0.6	-999.9	-999.9	-999.9
44 10.361	68 28.309	09Aug1998	1998b	SC	HN	1	52.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 10.354	68 28.316	09Aug1998	1998b	SC	HN	2	76.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 10.377	68 28.281	09Aug1998	1998b	SC	HN	4	49.8	0.4	0.8	0.0	1.6	0.8	0.0	0.0	0.0	0.1	-999.9	1.1	-999.9	-999.9	-999.9
44 10.326	68 28.314	09Aug1998	1998b	SC	HN	8	64.4	3.0	7.2	0.0	56.4	0.8	0.4	0.0	2.0	3.5	-999.9	16.7	-999.9	-999.9	-999.9
44 9.923	68 28.626	16Aug1998	1998b	SC	MD	0	20.4	10.2	1.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.931	68 28.642	16Aug1998	1998b	SC	MD	1	72.0	0.8	1.6	0.2	0.0	0.0	5.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.909	68 28.635	16Aug1998	1998b	SC	MD	2	29.6	2.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.946	68 28.596	16Aug1998	1998b	SC	MD	4	35.0	0.0	1.4	0.0	15.2	16.0	0.0	0.0	0.0	0.0	-999.9	2.2	-999.9	-999.9	-999.9
44 9.945	68 28.626	16Aug1998	1998b	SC	MD	8	44.2	0.2	0.6	0.2	10.8	3.0	914.8	0.0	0.0	0.1	-999.9	0.0	-999.9	-999.9	-999.9
44 9.614	68 28.834	11Aug1998	1998b	SC	PL	0	9.8	8.2	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.606	68 28.858	11Aug1998	1998b	SC	PL	1	20.4	3.6	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.615	68 28.802	11Aug1998	1998b	SC	PL	2	11.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.615	68 28.816	11Aug1998	1998b	SC	PL	4	14.6	0.8	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 9.613	68 28.849	11Aug1998	1998b	SC	PL	8	26.6	26.6	0.8	0.0	25.0	2.6	0.0	0.0	0.0	0.1	-999.9	0.0	-999.9	-999.9	-999.9
44 9.314	68 28.117	15Aug1998	1998b	TC	JL	0	6.4	10.4	15.2	0.2	2.2	0.0	0.0	5.4	1.0	12.7	-999.9	2.8	-999.9	-999.9	-999.9
44 9.318	68 28.167	14Aug1998	1998b	TC	JL	1	16.2	23.2	0.8	1.8	34.6	0.0	0.0	0.0	0.0	2.4	-999.9	85.6	-999.9	-999.9	-999.9
44 9.309	68 28.157	14Aug1998	1998b	TC	JL	2	34.8	8.0	0.6	0.2	11.8	0.0	0.0	0.4	0.2	0.1	-999.9	48.3	-999.9	-999.9	-999.9
44 9.312	68 28.98	15Aug1998	1998b	TC	JL	4	8.6	19.6	0.6	0.2	344.8	0.4	0.0	0.0	1.6	10.0	-999.9	57.8	-999.9	-999.9	-999.9
44 9.312	68 28.141	14Aug1998	1998b	TC	JL	8	28.0	8.6	28.0	0.0	360.2	0.2	0.0	0.0	0.9	9.0	-999.9	63.9	-999.9	-999.9	-999.9
44 8.164	68 27.194	08Aug1998	1998b	TC	LD	0	22.2	7.6	0.6	1.8	0.0	0.0	0.2	7.2	0.0	0.0	-999.9	0.0	-999.9	-999.9	-999.9
44 8.165	68 27.186	08Aug1998	1998b	TC	LD	1	30.2	11.2	0.4	5.6	8.2	0.4	0.0	0.0	0.0	0.0	-999.9	42.8	-999.9	-999.9	-999.9
44 8.152	68 27.156	08Aug1998	1998b	TC	LD	2	56.0	1.2	1.6	4.0	3.0	0.4	0.0	0.6	0.0	1.0	-999.9	3.3	-999.9	-999.9	-999.9
44 8.121	68 27.133	08Aug1998	1998b	TC	LD	4	20.6	17.2	0.8	2.0	25.8	1.0	0.0	0.0	0.0	0.0	-999.9	92.2	-999.9	-999.9	-999.9
44 8.133	68 27.145	08Aug1998	1998b	TC	LD	8	45.0	1.6	1.2	0.4	9.2	1.0	0.0	0.0	0.0	0.0	-999.9	10.6	-999.9	-999.9	-999.9
44 9.465	68 27.823	17Aug1998	1998b	TC	LH	0	60.0	3.6	0.2	0.6	0.6	0.0	0.0	0.0	0.0	0.1	-999.9	0.0	-999.9	-999.9	-999.9
44 9.460	68 27.804	17Aug1998	1998b	TC	LH	1	75.4	9.4	1.0	0.8	1.8	1.4	0.0	1.0	0.0	0.0	-999.9	0.6	-999.9	-999.9	-999.9
44 9.463	68 27.772	17Aug1998	1998b	TC	LH	2	37.2	5.2	2.0	3.0	16.0	2.4	0.0	0.0	0.0	0.0	-999.9	17.8	-999.9	-999.9	-999.9
44 9.468	68 27.790	17Aug1998	1998b	TC	LH	4	182.2	5.2	1.4	0.0	38.0	3.2	0.6	0.0	3.6	6.8	-999.9	28.9	-999.9	-999.9	-999.9
44 9.451	68 27.826	17Aug1998	1998b	TC	LH	8	63.4	2.8	4.2	0.0	19.4	1.8	0.0	0.0	0.0	0.0	-999.9	43.9	-999.9	-999.9	-999.9
44 8.629	68 26.663	11Jul1999	1999b	BC	DK	0	14.4	2.2	3.8	0.0	0.0	0.0	0.2	0.0	0.7	1.0	-999.9	0.0	-999.9	-999.9	-999.9
